tpep_pickup_datetime,pickup_zone,dropoff_zone,trip_distance,trip_duration_min,fare_amount,total_amount,avg_speed_mph,flag_zero_distance_paid,flag_extreme_fare,flag_extreme_total,flag_extreme_distance,flag_extreme_duration,flag_neg_tip,flag_impossible_speed,iqr_fare_amount,iqr_trip_distance,iqr_trip_duration_min
2023-01-24 12:43:44,JFK Airport,Outside of NYC,177.88,177.3,1160.1,1169.4,60.19627749576988,0,1,1,1,0,0,0,1,1,1
2023-03-07 23:03:14,JFK Airport,Outside of NYC,144.96,187.25,959.9,982.95,46.44913217623498,0,1,1,1,1,0,0,1,1,1
2023-02-25 22:47:49,JFK Airport,Outside of NYC,124.6,115.37,852.1,862.4,64.80020802635,0,1,1,1,0,0,0,1,1,1
2023-02-27 16:38:11,LaGuardia Airport,Outside of NYC,124.86,164.98,836.7,860.05,45.409140501879016,0,1,1,1,0,0,0,1,1,1
2023-03-05 21:55:13,Outside of NYC,Allerton/Pelham Gardens,13.0,1047.15,806.6,809.1,0.74487895716946,0,1,1,0,1,0,0,1,1,1
2023-02-28 23:15:56,JFK Airport,Outside of NYC,124.66,111.3,800.3,823.35,67.2021563342318,0,1,1,1,0,0,0,1,1,1
2023-02-20 16:33:00,West Chelsea/Hudson Yards,West Chelsea/Hudson Yards,0.18,1.03,754.05,757.55,10.485436893203882,0,1,1,0,0,0,0,1,0,0
2023-03-30 12:37:15,JFK Airport,Outside of NYC,127.3,169.97,750.0,758.8,44.937341883861855,0,1,1,1,0,0,0,1,1,1
2023-03-26 01:51:06,N/A,LaGuardia Airport,29.97,958.9,740.8,745.8,1.8752737511732194,0,1,1,0,1,0,0,1,1,1
2023-01-30 16:17:35,Jamaica Estates,Outside of NYC,8.81,975.82,701.6,705.6,0.5416982640241027,0,1,1,0,1,0,0,1,1,1
2023-03-29 11:31:30,Howard Beach,Outside of NYC,198.07,221.97,701.6,717.85,53.53966752263819,0,1,1,1,1,0,0,1,1,1
2023-02-26 18:37:48,Outside of NYC,Outside of NYC,193.9,245.72,700.0,876.25,47.34657333550383,0,1,1,1,1,0,0,1,1,1
2023-03-11 09:37:04,Upper East Side South,Outside of NYC,179.86,230.4,700.0,703.5,46.838541666666664,0,1,1,1,1,0,0,1,1,1
